 Month,pr
6.5,60.817733333333315
6.5,55.82364166666667
6.5,55.64708333333334
6.5,56.7994
6.5,53.10049999999999
6.5,48.28559166666667
6.5,54.344575
6.5,59.47580833333333
6.5,57.11594166666668
6.5,56.55266666666666
6.5,59.04463333333333
6.5,55.63131666666666
6.5,56.65291666666667
6.5,58.60108333333332
6.5,55.73578333333334
6.5,60.167575
6.5,52.237500000000004
6.5,52.55751666666666
6.5,52.925091666666674
6.5,52.435325000000006
6.5,54.93520833333334
6.5,58.45208333333334
6.5,54.87397500000001
6.5,54.000691666666675
6.5,52.270716666666665
6.5,56.418325
6.5,56.707316666666664
6.5,55.64609166666667
6.5,56.498275
6.5,52.924083333333336
6.5,59.18131666666667
6.5,57.44861666666667
6.5,63.76604166666667
