Distance m,Distance_1,cities_with_geo_latitude,cities_with_geo_longitude
Billings,221388.162076593,45.7893102609,-108.54882784
Missoula,200688.84567046698,46.8694402455,-114.00986384299999
Missoula,104984.88797696099,46.8694402455,-114.00986384299999
Missoula,100591.87616260801,46.8694402455,-114.00986384299999
Tacoma,104466.09804371199,47.242541144499995,-122.45447391
Billings,172953.598617413,45.7893102609,-108.54882784
Visalia,94240.9718387359,36.327062315700005,-119.32527321399999
Billings,303171.286465884,45.7893102609,-108.54882784
Hialeah,84495.6503764326,25.869626948,-80.3045294666
Merced,116060.955531936,37.3055863217,-120.477710571
Missoula,170915.079891551,46.8694402455,-114.00986384299999
Yuma,114092.367819166,32.5986027117,-114.54836837
Las Cruces,187716.715243237,32.326638797,-106.789465579
Duluth,156400.90085381598,46.7854703427,-92.1342013763
Billings,249196.08742977103,45.7893102609,-108.54882784
Billings,160781.90848959,45.7893102609,-108.54882784
Everett,156752.82316996699,47.9497966189,-122.160703911
Bellingham,81422.4846220685,48.753537031499995,-122.46809290600001
Everett,84601.0096770847,47.9497966189,-122.160703911
Missoula,186940.313276562,46.8694402455,-114.00986384299999
Provo,120837.939933799,40.2457185288,-111.64571585700001
Missoula,212386.102239882,46.8694402455,-114.00986384299999
Apple Valley,147109.05449749,34.5315984948,-117.211012664
Billings,216729.577565872,45.7893102609,-108.54882784
Boise City,104840.095225239,43.5984343897,-116.23088518899999
Indio,82784.4294260799,33.7298067837,-116.237258141
Jacksonville,86144.1072833878,34.7331103037,-77.39518228189999
Sparks,197162.85029877102,39.573373276,-119.713134168
Medford,99067.13454313632,42.3371987584,-122.853625909
Santa Fe,253384.348778215,35.666271960100005,-105.972662995
Scottsdale,61719.076639740095,33.6872493651,-111.86508587700001
Nampa,184695.81713566103,43.5829315681,-116.564145085
Visalia,186752.87886681,36.327062315700005,-119.32527321399999
Ogden,280514.219124934,41.2281567535,-111.967450557
Visalia,153296.960497085,36.327062315700005,-119.32527321399999
Redding,68718.6535799899,40.5697591271,-122.365026322
Santa Fe,44840.1494390581,35.666271960100005,-105.972662995
Las Cruces,142996.488099287,32.326638797,-106.789465579
Boulder,41604.040739553304,40.0275510494,-105.25151776
Bend,47005.47671813441,44.0561827184,-121.308690416
Portland,278454.409754704,45.537180654,-122.650032751
Bellevue,70225.4910993771,47.596243760600004,-122.15356998200001
Billings,270737.769729622,45.7893102609,-108.54882784
Boulder,178024.54458421603,40.0275510494,-105.25151776
San Buenaventura (Ventura),36559.4890426515,34.2743610206,-119.231436551
Visalia,163383.960287742,36.327062315700005,-119.32527321399999
Auburn,57420.7462066867,47.3038544325,-122.210810557
Boise City,218100.500769304,43.5984343897,-116.23088518899999
Burlington,87749.85351740349,44.4876245694,-73.23148283649999
Las Vegas,116587.76409962801,36.2274148438,-115.262670095
Clovis,161270.29705155198,36.8289400179,-119.68665285
Apple Valley,181021.07540620302,34.5315984948,-117.211012664
